player_name,position,college_weight,nfl_draft_round,nfl_draft_pick,nfl_draft_overall_selection,dl_id,ol_id,E/W,Number
Javontae Jean-Baptiste ,DE,239,7,2,222,1770000160,,West,99
Donovan Jennings,OG,328,,,,,1770000090,West,72
Karsen Barnhart,OG,306,,,,,1760000090,East,52
Gottlieb Ayedze ,OT,308,,,,,1760000085,East,78
Richard Jibunor,DE,234,,,,1760000141,,East,97
Anim Dankwah,OT,353,,,,,1770000084,West,77
Garrett Greenfield,OT,311,,,,,1770000087,West,74
Zion Tupuola-Fetui,DE,244,,,,1770000176,,West,94
